"","SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE"
"289","WYLS-1088",1,71.93,1.076963224
"290","NYS9-0936",1,76.55,1.212598245
"291","IDRM-1022",1,30.27,0.512745753
"292","NER9-0902",1,48.3,0.763392723
"293","IDRM-1019",1,20.35,0.637342708
"294","SDR9-0911",1,38.43,1.02647246
"295","CAS9-0915",1,41.62,0.835237756
"296","CAS9-0930",1,71.82,1.166783992
"297","MIS9-0929",1,34.4,0.852756058
"298","OKRO-1088",1,47.48,0.57897482
"299","KSR9-0905",1,63.93,0.52588812
"300","CARM-1010",1,30.35,0.425010626
"301","NJLS-1041",1,10.32,0.561108221
"302","CAS9-0916",1,56.98,0.941467129
"303","DER9-0903",1,21.85,0.763176834
"304","WYS9-0931",1,45.2,0.704446481
"305","NYRO-1049",1,34.67,0.561218983
"306","LARO-1020",1,40.5,0.615030788
"307","KSR9-0908",1,50.08,1.2702646
"308","MNR9-0907",1,36.12,0.42104582
"309","MNRM-1010",1,49.88,0.841958701
"310","NDS9-0938",2,37.75,1.128887939
"311","SDR9-0901",1,68.83,0.995620136
"312","OKRM-1006",1,4.65,0.725588442
"313","OHS9-0916",1,12.78,0.601682245
"314","NVR9-0905",1,45.02,0.478287594
"315","CARM-1011",1,35.82,0.430792176
"316","ORRM-1008",1,15.72,0.303957834
"317","TXS9-0937",1,32.85,1.22573358
"318","NHRO-1033",1,2.88,0.280862769
"319","IDR9-0908",1,64.32,1.112854361
"320","MISS-1133",1,35.97,1.073275802
"321","WIS9-0928",1,70.48,0.967255539
"322","OKS9-0938",1,47.68,0.893242455
"323","WAS9-0920",1,2.38,0.325675774
"324","NERM-1003",1,29.73,0.718407214
"325","CAS9-0921",1,80.07,1.155696137
"326","KSRS-1268",1,70.25,0.749236414
"327","MDR9-0905",2,66.35,1.171825156
"328","OKLS-1181",1,36.27,0.620681433
"329","TXR9-0903",2,21.17,0.896319913
"330","NVRO-1024",1,37.18,0.513291557
"331","UTR9-0901",1,57.13,0.775105653
"332","MTR9-0920",1,72.1,0.951339303
"333","ORR9-0903",1,65.7,1.316174958
"334","SDR9-0909",1,30.45,0.967543045
